,OrderId,Rejection Reason
35,ORDER_53,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
36,ORDER_5863,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
37,ORDER_63,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
38,ORDER_6863,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
39,ORDER_7863,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
40,ORDER_8433,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
41,ORDER_93,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
42,ORDER_9433,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
43,ORDER_1434,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
44,ORDER_1864,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
45,ORDER_2864,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
46,ORDER_4864,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
47,ORDER_5434,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
48,ORDER_5864,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
49,ORDER_6434,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
50,ORDER_7864,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
51,ORDER_8434,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
52,ORDER_9864,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
53,ORDER_10434,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
54,ORDER_1435,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
55,ORDER_2435,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
56,ORDER_2865,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
57,ORDER_3435,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
58,ORDER_4435,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
59,ORDER_4865,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
60,ORDER_5435,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
61,ORDER_6435,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
62,ORDER_7435,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
63,ORDER_7865,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
64,ORDER_8435,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
65,ORDER_8865,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
66,ORDER_9865,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
67,ORDER_10435,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
68,ORDER_10865,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
69,ORDER_1436,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
70,ORDER_1866,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
71,ORDER_26,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
72,ORDER_2866,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
73,ORDER_46,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
74,ORDER_5436,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
75,ORDER_66,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
76,ORDER_6436,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
77,ORDER_6866,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
78,ORDER_7866,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
79,ORDER_9436,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
80,ORDER_1437,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
81,ORDER_27,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
82,ORDER_2437,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
83,ORDER_3867,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
84,ORDER_4867,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
85,ORDER_7437,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
86,ORDER_8867,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
87,ORDER_1438,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
88,ORDER_2868,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
89,ORDER_38,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
90,ORDER_3868,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
91,ORDER_48,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
92,ORDER_5438,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
93,ORDER_5868,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
94,ORDER_6438,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
95,ORDER_6868,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
96,ORDER_7868,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
97,ORDER_98,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
98,ORDER_108,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
99,ORDER_10868,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
100,ORDER_1439,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
101,ORDER_1869,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
102,ORDER_2869,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
103,ORDER_4869,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
104,ORDER_5439,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
105,ORDER_5869,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
106,ORDER_6439,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
107,ORDER_79,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
108,ORDER_9439,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
109,ORDER_10869,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
110,ORDER_1870,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
111,ORDER_2440,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
112,ORDER_2870,"REJECTED-POSITION CHECK FAILED{'INST_000': 0, 'INST_001': 0, 'INST_002': 0, 'INST_003': 0, 'INST_004': 0, 'INST_005': 0, 'INST_006': 0, 'INST_007': 0, 'INST_008': 0, 'INST_009': 0}"
